91.136.33.93,170.117.*.*
183.227.*.*,207.251.178.41
*.*.*.*,199.49.81.59
75.124.84.3,20.203.94.225
89.195.51.193,62.196.82.151
120.235.240.*,88.25.68.87
196.151.125.55,61.197.112.200
1.8.254.227,179.183.108.203
3.149.35.236,159.177.50.60
240.157.74.72,115.43.211.19
193.122.129.176,205.108.247.22
96.170.178.114,49.192.205.15
192.250.249.247,126.92.224.108
57.138.129.125,162.117.174.113
233.98.132.171,164.163.176.10
144.198.88.231,160.38.*.*
146.161.252.14,187.254.208.143
151.255.206.94,94.246.134.79
218.215.252.201,50.58.123.49
47.219.209.29,49.26.76.9
252.108.187.57,232.182.*.*
85.75.187.115/20,55.184.43.107
72.238.183.*,175.62.17.167
42.118.183.11,13.24.52.31
220.194.221.*,173.233.86.88/16
38.62.135.59,76.220.117.225
255.232.200.174/12,198.8.35.131
199.*.*.*,130.252.144.*
141.146.114.8,209.162.45.*
148.200.160.220,84.125.3.110
144.77.176.234,93.50.31.45
186.70.143.*,95.74.253.140
252.221.80.245,201.55.10.97
232.201.250.252,52.4.130.46
113.198.102.203,16.75.124.52
208.186.186.152,131.3.*.*
88.1.241.150,57.231.236.17
155.67.242.196,127.138.4.200
200.33.*.*,104.191.4.220
32.102.*.*,33.101.172.17
220.145.233.79,81.95.56.226
203.135.67.201,173.17.185.62
92.133.190.79,57.20.72.114
151.165.241.122,142.119.249.102
25.66.109.191,171.4.199.140
143.*.*.*,152.72.238.96
10.104.165.33,170.32.168.95
113.17.146.27,235.244.251.222
115.29.224.167,114.139.52.192
102.131.68.9,53.247.174.90
220.221.83.95,67.*.*.*
135.80.144.249,65.217.178.247
150.198.5.111,19.253.184.68
84.79.193.131,227.16.167.94
29.215.119.*,31.149.89.108
81.95.197.153,71.163.248.236
144.130.135.208,161.234.120.173
198.64.149.235,155.92.208.188
41.232.122.243,202.130.17.21
171.202.172.78,148.163.3.159
55.97.225.127,24.251.215.159
33.74.27.122,19.142.10.113
66.8.118.7,227.240.228.158
120.149.178.37,224.213.1.57
28.229.131.140,131.53.*.*
19.21.96.65,63.95.103.145
187.132.110.44,243.161.102.82
175.41.164.164,254.243.68.101
42.248.155.*,110.236.92.172
125.64.221.201,104.14.214.98
11.213.217.41,72.39.209.253
199.10.66.29,82.164.149.70
56.57.188.177,29.219.255.42
246.21.211.*,3.162.157.121
*.*.*.*,63.229.209.224/4
195.18.53.233,13.70.128.196
96.248.56.*,216.243.181.*
109.226.161.233,242.101.219.6
220.35.93.150,111.195.25.197
246.237.21.254,47.167.162.195
34.187.116.234,143.223.204.*
148.156.71.75,121.100.189.115
245.159.88.*,*.*.*.*
192.164.239.103,42.236.192.121
21.23.245.2,83.200.203.199
121.130.228.195,36.142.147.10
255.126.102.9,113.227.164.176
139.190.*.*,75.103.48.9
104.254.124.144,74.40.38.*
16.179.163.115,76.234.59.195
11.229.34.202,104.*.*.*
102.170.196.5,255.*.*.*
155.219.*.*,225.187.127.250
6.49.119.253,196.170.220.218
79.50.45.70,*.*.*.*
74.14.230.187,110.127.215.143
89.*.*.*,142.45.231.48
254.197.237.22,87.223.1.31
17.162.195.129,249.221.10.*
116.49.225.60,231.125.111.*
